id,u,v,width,height,is_line
14907,0.2154217,0.8110973,0.01234924,0.0152536,test
,,,,,
14907,0.2130368,0.8226642,0.02703877,0.03339788,test
14907,0.2130551,0.8228819,0.02658161,0.0328332,test
14907,0.2129397,0.823047,0.02562407,0.03165047,test
14907,0.2130144,0.8230942,0.02405497,0.02971235,test
14907,0.2159656,0.8256224,0.0358912,0.04433227,test
14907,0.2159378,0.8255663,0.03599026,0.04445464,test
14907,0.215838,0.8256575,0.03521178,0.04349307,test
14907,0.2156801,0.8254349,0.03406815,0.04208048,test
14907,0.2229726,0.8286473,0.04613904,0.05699026,test
14907,0.2235409,0.8289407,0.0450385,0.05563088,test
14907,0.2254698,0.8297319,0.04124091,0.05094016,test
14907,0.227947,0.8308989,0.0356622,0.04404943,test
14907,0.2411656,0.8341768,0.05096321,0.062949,test
14907,0.2421331,0.8343657,0.04932091,0.06092046,test
14907,0.2438362,0.8348608,0.04670548,0.05768992,test
14907,0.2457975,0.8353052,0.04319195,0.05335006,test
14907,0.2611498,0.8393897,0.0585393,0.07230687,test
14907,0.262351,0.8397482,0.05711285,0.07054494,test
14907,0.2654071,0.8404768,0.05294435,0.06539608,test
14907,0.2693363,0.8414413,0.04773642,0.05896332,test
14907,0.2877975,0.8456009,0.06354854,0.07849421,test
14907,0.2892462,0.8459268,0.06184724,0.07639279,test
14907,0.2925448,0.8467531,0.05729517,0.07077015,test
14907,0.2972156,0.8478648,0.05158079,0.06371183,test
14907,0.3165982,0.8511816,0.06661823,0.08228586,test
14907,0.3181895,0.8514364,0.06478394,0.08002016,test
14907,0.3221703,0.8521608,0.05953201,0.07353306,test
14907,0.3285417,0.8532941,0.052433,0.06476447,test
14907,0.3463738,0.8560588,0.06526085,0.08060924,test
14907,0.3479185,0.8563685,0.06350655,0.07844235,test
14907,0.3516411,0.857003,0.05794101,0.07156788,test
14907,0.358119,0.8579549,0.04977067,0.06147599,test
14907,0.3718467,0.8594257,0.05787241,0.07148314,test
14907,0.373328,0.8596226,0.05582849,0.06895853,test
14907,0.3769991,0.8600909,0.05070218,0.06262658,test
14907,0.3827238,0.8606464,0.04268815,0.05272777,test
14907,0.392456,0.8581207,0.04827801,0.05963228,test
14907,0.3939461,0.8577786,0.04583834,0.05661884,test
14907,0.3966186,0.8568437,0.04047732,0.04999698,test
14907,0.4000995,0.8551809,0.03286593,0.04059551,test
14907,0.4022,0.8540154,0.02562331,0.03164953,test
14907,0.4026118,0.8535916,0.01436067,0.01773809,test
,,,,,
14908,0.2252466,0.7183284,0.02507478,0.03097199,test
14908,0.2252684,0.7182721,0.02479836,0.03063057,test
14908,0.2254657,0.7181891,0.02209607,0.02729274,test
14908,0.2254304,0.7181824,0.01748047,0.02159162,test
14908,0.2257221,0.7257628,0.0300607,0.03713054,test
14908,0.2256332,0.7269021,0.02794234,0.03451396,test
14908,0.2258754,0.7293514,0.01844385,0.02278157,test
,,,,,
14908,0.2400474,0.746661,0.04179872,0.05162915,test
14908,0.2406702,0.7472655,0.04066126,0.05022418,test
14908,0.2413056,0.7477759,0.03916664,0.04837805,test
14908,0.2418842,0.7482142,0.03710774,0.04583492,test
14908,0.2599254,0.7623694,0.06123218,0.07563309,test
14908,0.2613022,0.7634216,0.05933864,0.07329421,test
14908,0.2644236,0.7658771,0.05381922,0.0664767,test
14908,0.267892,0.7684974,0.04806636,0.05937085,test
